Hodnota poukazu;Čo pokrýva;Platnosť
50 €;Klasický Head Spa, 40 minút;podľa podmienok salónu
70 €;Relaxačný Head Spa, 60 minút;podľa podmienok salónu
100 €;Napríklad Hĺbkový rituál pre pokožku hlavy, 90 minút;podľa podmienok salónu
149 €;Prémiový rituál, 120 minút, alebo rituál pod hviezdami pre dvoch;podľa podmienok salónu
249 €;Zlatý Head Spa rituál 24K pre dvoch, 90 minút;podľa podmienok salónu
Konkrétny rituál;Vyber ktorýkoľvek zo sedemnástich, meno rituálu bude na poukaze;podľa podmienok salónu
